Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
119101A,Barratta Creek at Northcote,17/2/2012 13:15,,0.017,0.19,,0.17,,,,<0.01,,0.015,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,20/2/2012 15:20,,<0.01,0.19,,0.16,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,21/2/2012 15:05,,<0.01,0.2,,0.18,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,22/2/2012 11:25,,<0.01,0.3,,0.13,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,23/2/2012 11:10,,0.01,0.45,,0.14,,,,0.016,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,24/2/2012 14:00,,<0.01,0.34,,0.12,,,,<0.01,,0.016,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,27/2/2012 12:35,,<0.01,0.4,,0.14,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,28/2/2012 11:40,,<0.01,0.41,,0.19,,,,<0.01,,0.012,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,29/2/2012 11:05,,<0.01,0.34,,0.13,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,1/3/2012 11:45,,0.013,0.43,,0.13,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,0.011,,
119101A,Barratta Creek at Northcote,2/3/2012 10:05,,0.017,0.39,,0.11,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,0.013,,
119101A,Barratta Creek at Northcote,5/3/2012 11:05,,0.025,0.25,,0.17,,,,0.011,,<0.01,,,<0.01,,,,<0.01,<0.01,0.026,,
119101A,Barratta Creek at Northcote,6/3/2012 10:15,,0.015,0.12,,0.12,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,0.017,,
119101A,Barratta Creek at Northcote,7/3/2012 11:35,,0.015,0.28,,0.16,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,0.015,,
119101A,Barratta Creek at Northcote,8/3/2012 10:00,,<0.01,0.98,,3.3,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,0.012,,
119101A,Barratta Creek at Northcote,9/3/2012 10:20,,<0.01,0.53,,0.88,,,,0.011,,0.018,,,<0.01,,,,<0.01,<0.01,0.01,,
119101A,Barratta Creek at Northcote,12/3/2012 10:00,,<0.01,0.81,,0.27,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,13/3/2012 9:45,,<0.01,0.54,,0.15,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,13/3/2012 10:20,,0.012,0.56,,0.18,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,0.011,,
119101A,Barratta Creek at Northcote,16/3/2012 9:45,,<0.01,0.69,,0.13,,,,<0.01,,0.026,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,16/3/2012 14:35,,<0.01,0.67,,0.09,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,17/3/2012 10:40,,<0.01,0.31,,0.075,,,,0.011,,0.045,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,17/3/2012 17:15,,<0.01,0.24,,0.072,,,,0.011,,0.037,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,18/3/2012 10:25,,<0.01,0.17,,0.046,,,,<0.01,,0.058,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,18/3/2012 16:40,,<0.01,0.21,,0.041,,,,<0.01,,0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,19/3/2012 11:00,,<0.01,0.1,,0.021,,,,<0.01,,0.013,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,19/3/2012 15:20,,<0.01,0.13,,0.033,,,,<0.01,,0.023,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,22/3/2012 16:40,,<0.01,0.016,,0.018,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,23/3/2012 9:50,,<0.01,0.051,,0.04,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,24/3/2012 13:45,,<0.01,0.038,,0.032,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,25/3/2012 13:55,,<0.01,0.067,,0.035,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,26/3/2012 10:00,,<0.01,0.042,,0.025,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,28/3/2012 14:20,,<0.01,0.026,,0.022,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,30/3/2012 10:20,,<0.01,0.017,,0.02,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,30/3/2012 10:30,,<0.01,0.017,,0.019,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,5/4/2012 11:20,,<0.01,0.044,,0.035,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,11/4/2012 9:45,,<0.01,0.073,,0.033,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,17/4/2012 10:15,,<0.01,0.093,,0.037,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,23/4/2012 9:50,,<0.01,0.15,,0.043,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
