Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
130504B,Comet River at Comet Weir,7/10/2016 13:15,0.007,<0.001,0.005,,<0.001,,<0.001,0.004,0.042,<0.001,<0.001,0.006,0.001,0.08,<0.001,<0.001,,<0.001,0.03,0.11,<0.001,0.03
130504B,Comet River at Comet Weir,29/10/2016 11:45,0.004,<0.001,0.007,,0.001,,<0.001,0.002,0.049,<0.001,<0.001,0.012,<0.001,0.071,<0.001,<0.001,,<0.001,0.035,0.069,<0.001,0.022
130504B,Comet River at Comet Weir,7/12/2016 11:00,0.015,0.0004,0.042,,0.0012,<0.0002,0.0018,0.0009,0.0012,<0.0001,<0.0005,0.017,0.0003,0.0079,<0.0005,<0.0001,,0.0019,0.19,0.35,0.019,<0.0005
130504B,Comet River at Comet Weir,9/12/2016 10:30,0.017,0.0003,0.043,,0.0013,<0.0002,<0.005,0.0009,0.0011,<0.0001,<0.0005,0.015,0.0004,0.0079,<0.0005,0.0005,,0.0018,0.19,0.32,0.019,<0.0005
130504B,Comet River at Comet Weir,22/2/2017 7:20,0.0099,0.0005,0.22,<0.05,0.0033,<0.0005,0.007,0.0025,0.0016,0.0008,<0.002,0.017,<0.002,0.12,<0.002,<0.002,<0.02,0.0015,0.14,0.4,0.012,<0.002
130504B,Comet River at Comet Weir,16/3/2017 11:00,0.16,0.0015,9,<0.05,0.0013,<0.0005,0.4,0.011,0.0032,0.0083,0.019,0.024,<0.0005,9.5,<0.0005,0.01,<0.02,0.0006,0.067,1.2,1.5,<0.001
130504B,Comet River at Comet Weir,24/3/2017 16:20,0.08,<0.01,1.2,<0.02,<0.02,<0.02,0.16,0.04,0.08,0.03,<0.02,<0.02,<0.01,3,<0.02,<0.02,<0.02,<0.02,0.02,0.65,0.32,<0.05
130504B,Comet River at Comet Weir,28/3/2017 15:30,0.09,<0.01,1.4,<0.02,<0.02,<0.02,0.19,0.05,0.09,0.04,<0.02,<0.02,<0.01,1.9,<0.02,<0.02,<0.02,<0.02,0.02,0.83,0.1,<0.05
130504B,Comet River at Comet Weir,30/3/2017 9:30,0.07,<0.01,0.09,<0.02,<0.02,<0.02,0.24,0.05,<0.01,<0.01,<0.02,<0.02,<0.01,1.3,<0.02,<0.02,<0.02,<0.02,<0.01,3.6,0.04,<0.05
130504B,Comet River at Comet Weir,31/3/2017 9:15,0.2,<0.01,0.13,<0.02,<0.02,<0.02,0.33,0.07,<0.01,0.05,<0.02,<0.02,<0.01,1.2,<0.02,<0.02,<0.02,<0.02,0.01,0.17,0.08,<0.05
130504B,Comet River at Comet Weir,31/3/2017 16:30,0.18,<0.01,0.27,<0.02,<0.02,<0.02,0.25,0.02,<0.01,0.05,<0.02,0.03,<0.01,0.66,<0.02,<0.02,<0.02,<0.02,0.02,0.18,0.1,<0.05
130504B,Comet River at Comet Weir,1/4/2017 16:40,0.27,<0.01,0.15,<0.02,<0.02,<0.02,0.48,<0.02,<0.01,0.02,<0.02,0.13,<0.01,0.24,<0.02,<0.02,<0.02,<0.02,0.01,0.34,0.31,<0.05
130504B,Comet River at Comet Weir,3/4/2017 16:10,0.06,<0.01,0.06,<0.02,<0.02,<0.02,0.12,<0.02,0.03,<0.01,<0.02,<0.02,<0.01,0.06,<0.02,<0.02,<0.02,<0.02,<0.01,0.14,0.01,<0.05
130504B,Comet River at Comet Weir,4/4/2017 16:15,0.057,<0.0005,0.027,<0.05,0.0013,<0.0005,0.11,0.0032,0.013,0.0054,<0.0005,0.02,<0.0005,0.043,<0.0005,0.0043,<0.05,<0.0005,0.0054,0.19,0.0085,<0.05
130504B,Comet River at Comet Weir,5/4/2017 16:10,0.032,<0.0005,0.024,<0.05,0.0011,<0.0005,0.07,0.0023,0.015,0.0044,<0.0005,0.016,<0.0005,0.035,<0.0005,0.004,<0.05,<0.0005,0.0046,0.12,0.0061,<0.05
130504B,Comet River at Comet Weir,10/4/2017 15:50,0.017,<0.0005,0.041,<0.05,0.0012,<0.0005,0.046,0.004,0.012,0.0048,<0.0005,0.028,<0.0005,0.041,<0.0005,0.0044,<0.05,<0.0005,0.0046,0.22,0.0065,<0.05
130504B,Comet River at Comet Weir,2/5/2017 11:30,0.01,0.0006,0.019,<0.05,0.0005,<0.0005,0.03,0.0015,0.014,0.0027,<0.0005,0.011,0.0013,0.022,<0.0005,0.0021,<0.05,<0.0005,0.0034,0.049,0.01,<0.05
130504B,Comet River at Comet Weir,9/6/2017 11:00,<0.005,0.0011,0.02,<0.02,0.002,<0.0005,0.024,<0.001,0.016,0.0018,<0.001,0.013,0.001,0.02,<0.001,0.0033,<0.02,<0.0005,0.0052,0.054,0.013,0.01
130504B,Comet River at Comet Weir,18/7/2017 12:55,<0.02,<0.01,0.03,<0.02,0.49,<0.02,<0.05,<0.02,0.02,<0.01,<0.02,<0.02,<0.01,0.02,<0.02,<0.02,<0.02,<0.02,<0.01,0.1,0.02,<0.05
130504B,Comet River at Comet Weir,8/8/2017 10:55,<0.02,<0.01,0.04,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.01,<0.02,<0.02,<0.01,0.01,<0.05,<0.02,<0.02,<0.02,0.15,0.3,0.87,<0.1
130504B,Comet River at Comet Weir,11/9/2017 10:50,<0.02,<0.01,0.04,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.01,<0.02,<0.02,<0.01,0.01,<0.02,<0.02,<0.02,<0.02,0.12,0.33,0.39,<0.1
