Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
122013A,Proserpine River at Glen Isla,13/3/2020 6:57,0.11,<0.01,0.05,<0.02,0.14,<0.02,0.16,<0.02,0.18,0.12,0.3,<0.02,0.03,0.04,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,16/3/2020 10:09,0.03,<0.01,0.02,<0.02,0.08,<0.02,0.06,<0.02,0.09,0.06,0.11,<0.02,<0.01,0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,23/3/2020 14:40,0.24,<0.01,0.03,<0.02,0.06,<0.02,0.17,<0.02,0.19,0.13,0.17,<0.02,<0.01,0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,8/4/2020 14:55,<0.02,<0.01,<0.02,<0.02,0.04,<0.02,<0.05,<0.02,0.06,0.05,0.05,<0.05,<0.01,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,17/4/2020 10:35,0.02,<0.01,<0.02,<0.02,0.03,<0.02,<0.05,<0.02,0.05,0.04,0.03,<0.05,<0.01,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,23/4/2020 16:30,<0.05,<0.01,<0.02,<0.05,0.1,<0.02,<0.05,<0.02,0.07,0.05,0.05,<0.02,<0.02,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.1
122013A,Proserpine River at Glen Isla,29/4/2020 10:05,<0.05,<0.01,<0.02,<0.05,0.04,<0.02,<0.05,<0.02,0.05,0.04,0.04,<0.02,<0.02,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.1
122013A,Proserpine River at Glen Isla,22/5/2020 15:15,<0.05,<0.01,1.1,<0.02,0.03,<0.02,0.08,<0.02,0.08,0.08,0.05,<0.02,<0.02,0.62,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.1
122013A,Proserpine River at Glen Isla,24/5/2020 10:15,0.07,<0.01,0.97,<0.02,0.13,<0.02,0.11,<0.02,0.11,0.26,0.2,<0.02,0.03,2.3,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.1
122013A,Proserpine River at Glen Isla,25/5/2020 10:49,0.06,<0.01,0.63,<0.02,0.11,<0.02,0.08,<0.02,0.08,0.2,0.14,<0.02,<0.02,1.5,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.1
122013A,Proserpine River at Glen Isla,18/6/2020 12:20,<0.02,<0.01,0.1,<0.02,0.02,<0.02,<0.05,<0.02,0.03,0.04,<0.02,<0.05,<0.01,0.08,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,17/7/2020 13:35,<0.02,<0.01,<0.02,<0.02,<0.02,<0.02,<0.05,<0.02,0.03,0.03,<0.02,<0.02,<0.01,0.03,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.05
122013A,Proserpine River at Glen Isla,11/9/2020 12:05,<0.05,<0.01,<0.02,<0.02,<0.02,<0.02,<0.05,<0.02,0.27,0.04,<0.02,<0.02,<0.02,<0.01,<0.02,<0.02,<0.02,<0.02,<0.01,<0.01,<0.01,<0.2
